		Время наблюдения источника Dragonfly (J2019+368)   (ra=304.95, dec=36.78)			Время наблюдения источника Boomerang (VERJ2227+608)(ra=336.996, dec=60.877) Время наблюдения источника Crab                    (ra=83.633, dec=22.015)
Date		dT		UTbeg		UTend		LocTbeg		LocTend				dT	UTbeg	   UTend	LocTbeg		LocTend				 dT	UTbeg		UTend		LocTbeg		LocTend
dd.mm.year	hr:min		hr:min		hr:min		dd.mm hr:min	  dd.mm hr:min			hr:min	hr:min	   hr:min	dd.mm hr:min	dd.mm hr:min			 hr:min	hr:min		hr:min		dd.mm hr:min	  dd.mm hr:min
26.10.2021	00:59		11:50		12:49		26.10 19:50	  26.10 20:49			00:00	12:49	   12:49	00.00 00:00	00.00 00:00			 00:00	00:00		00:00		00.00 00:00	  00.00 00:00
27.10.2021	01:57		11:48		13:45		27.10 19:48	  27.10 21:45			00:00	13:45	   13:45	00.00 00:00	00.00 00:00			 00:00	00:00		00:00		00.00 00:00	  00.00 00:00
28.10.2021	03:03		11:46		14:49		28.10 19:46	  28.10 22:49			00:00	14:49	   14:49	00.00 00:00	00.00 00:00			 00:00	00:00		00:00		00.00 00:00	  00.00 00:00
29.10.2021	03:17		11:44		15:01		29.10 19:44	  29.10 23:01			01:01	15:01	   16:02	29.10 23:01	30.10 00:02			 00:00	00:00		00:00		00.00 00:00	  00.00 00:00
30.10.2021	03:14		11:42		14:56		30.10 19:42	  30.10 22:56			02:23	14:56	   17:19	30.10 22:56	31.10 01:18			 00:00	00:00		00:00		31.10 00:00	  00.00 00:00
31.10.2021	03:12		11:40		14:52		31.10 19:40	  31.10 22:52			02:13	14:52	   17:05	31.10 22:52	01.11 01:05			 01:34	17:05		18:39		01.11 01:06	  01.11 02:39
01.11.2021	03:10		11:38		14:48		01.11 19:38	  01.11 22:49			02:14	14:48	   17:02	01.11 22:48	02.11 01:02			 02:58	17:02		20:00		02.11 01:01	  02.11 04:00
02.11.2021	03:09		11:37		14:46		02.11 19:37	  02.11 22:46			02:11	14:46	   16:57	02.11 22:46	03.11 00:56			 04:27	16:57		21:24		03.11 00:57	  03.11 05:24
03.11.2021	03:07		11:35		14:42		03.11 19:35	  03.11 22:41			02:11	14:42	   16:53	03.11 22:41	04.11 00:53			 05:16	16:53		22:09		04.11 00:54	  04.11 06:09
04.11.2021	03:04		11:33		14:37		04.11 19:33	  04.11 22:37			02:13	14:37	   16:50	04.11 22:37	05.11 00:50			 05:21	16:50		22:11		05.11 00:49	  05.11 06:11
05.11.2021	03:02		11:31		14:33		05.11 19:31	  05.11 22:33			02:12	14:33	   16:45	05.11 22:33	06.11 00:45			 05:27	16:45		22:12		06.11 00:45	  06.11 06:12
06.11.2021	03:00		11:29		14:29		06.11 19:29	  06.11 22:30			02:12	14:29	   16:41	06.11 22:29	07.11 00:41			 05:33	16:41		22:14		07.11 00:42	  07.11 06:14
07.11.2021	02:58		11:28		14:26		07.11 19:28	  07.11 22:26			02:12	14:26	   16:38	07.11 22:26	08.11 00:38			 05:38	16:38		22:16		08.11 00:38	  08.11 06:16
08.11.2021	02:35		11:47		14:22		08.11 19:47	  08.11 22:22			02:13	14:22	   16:35	08.11 22:22	09.11 00:34			 05:43	16:35		22:18		09.11 00:35	  09.11 06:18
09.11.2021	01:22		12:55		14:17		09.11 20:55	  09.11 22:18			02:13	14:17	   16:30	09.11 22:17	10.11 00:30			 05:50	16:30		22:20		10.11 00:31	  10.11 06:20
10.11.2021	00:00		00:00		00:00		10.11 00:00	  00.00 00:00			02:14	14:13	   16:27	10.11 22:13	11.11 00:27			 05:50	16:27		22:17		11.11 00:26	  11.11 06:17
11.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:47	15:35	   16:22	11.11 23:35	12.11 00:22			 05:51	16:22		22:13		12.11 00:22	  12.11 06:13
12.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:00	16:55	   16:55	00.00 00:00	00.00 00:00			 05:15	16:55		22:10		13.11 00:55	  13.11 06:10
13.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:00	00:00	   00:00	00.00 00:00	00.00 00:00			 03:54	18:12		22:06		14.11 02:12	  14.11 06:05
14.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:00	00:00	   00:00	00.00 00:00	00.00 00:00			 02:36	19:26		22:02		15.11 03:26	  15.11 06:02
15.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:00	00:00	   00:00	00.00 00:00	00.00 00:00			 01:19	20:38		21:57		16.11 04:38	  16.11 05:58
16.11.2021	00:00		00:00		00:00		00.00 00:00	  00.00 00:00			00:00	00:00	   00:00	00.00 00:00	00.00 00:00			 00:00	00:00		00:00		17.11 00:00	  00.00 00:00
